model_dir:checkpoints/GAN_Control_Ensemble_pix2pix_aligned_Resnet_catt_256_jit
Epoch:455,MAE:0.07353, RMSE:0.26460, pearson:0.79042
Epoch:460,MAE:0.07349, RMSE:0.26454, pearson:0.79051
Epoch:465,MAE:0.07345, RMSE:0.26446, pearson:0.79060
Epoch:470,MAE:0.07340, RMSE:0.26439, pearson:0.79071
Epoch:475,MAE:0.07337, RMSE:0.26433, pearson:0.79078
Epoch:480,MAE:0.07335, RMSE:0.26430, pearson:0.79084
Epoch:485,MAE:0.07331, RMSE:0.26422, pearson:0.79093
Epoch:490,MAE:0.07327, RMSE:0.26414, pearson:0.79102
Epoch:495,MAE:0.07323, RMSE:0.26406, pearson:0.79114
Epoch:500,MAE:0.07320, RMSE:0.26400, pearson:0.79122
Epoch:505,MAE:0.07317, RMSE:0.26395, pearson:0.79130
Epoch:510,MAE:0.07313, RMSE:0.26388, pearson:0.79140
Epoch:515,MAE:0.07309, RMSE:0.26379, pearson:0.79150
Epoch:520,MAE:0.07305, RMSE:0.26373, pearson:0.79158
Epoch:525,MAE:0.07301, RMSE:0.26366, pearson:0.79169
